Chassis_ID,Inspection_No,Inspection_Date,Weld_Quality_Score,Weld_Status,Frame_Weight_kg,Frame_Weight_Status,Dimensional_Deviation_mm,Dimensional_Grade,Dimensional_Status,Material_Grade,Hardness_BHN,Material_Status,Surface_Defect_Count,Surface_Defect_Status,Static_Load_Capacity_kg,Permanent_Deformation,Load_Test_Status,Overall_QC_Status
CHS-00001,1,2025-01-01 00:00:00,91.1,Pass,81.3,Fail,0.221,Grade B,Pass,HSLA-340,202.9,Pass,5,Pass,467.9,No,Pass,Warning
CHS-00001,2,2025-01-01 00:10:00,95.8,Pass,83.19,Pass,0.232,Grade B,Pass,E350,158.6,Pass,5,Pass,548.3,No,Pass,Pass
CHS-00001,3,2025-01-01 00:20:00,80.1,Warning,83.37,Pass,0.233,Grade B,Pass,E350,167.7,Pass,4,Pass,519.5,No,Pass,Pass
CHS-00001,4,2025-01-01 00:30:00,98.0,Pass,84.84,Pass,0.123,Grade A,Pass,HSLA-340,174.7,Pass,2,Pass,451.1,No,Pass,Pass
CHS-00001,5,2025-01-01 00:40:00,90.7,Pass,87.76,Warning,0.32,Grade B,Pass,HSLA-340,174.2,Pass,5,Pass,530.9,No,Pass,Pass
CHS-00001,6,2025-01-01 00:50:00,89.4,Pass,82.23,Warning,0.54,Grade C,Warning,HSLA-420,223.7,Pass,4,Pass,517.8,No,Pass,Warning
CHS-00001,7,2025-01-01 01:00:00,95.7,Pass,83.02,Pass,0.326,Grade B,Pass,E350,166.3,Pass,2,Pass,500.2,No,Pass,Pass
CHS-00001,8,2025-01-01 01:10:00,99.2,Pass,86.63,Pass,0.269,Grade B,Pass,HSLA-340,178.0,Pass,0,Pass,453.2,No,Pass,Pass
CHS-00001,9,2025-01-01 01:20:00,99.6,Pass,83.87,Pass,0.533,Grade C,Warning,HSLA-420,201.7,Pass,5,Pass,419.5,No,Fail,Warning
CHS-00001,10,2025-01-01 01:30:00,87.8,Pass,89.34,Fail,0.233,Grade B,Pass,IS2062-E250,140.6,Pass,4,Pass,491.4,No,Pass,Warning
CHS-00001,11,2025-01-01 01:40:00,85.7,Pass,82.14,Warning,0.091,Grade A,Pass,E350,181.0,Pass,1,Pass,531.5,No,Pass,Pass
CHS-00001,12,2025-01-01 01:50:00,95.9,Pass,86.42,Pass,0.316,Grade B,Pass,HSLA-340,202.4,Pass,3,Pass,414.3,Yes,Fail,Warning
CHS-00001,13,2025-01-01 02:00:00,84.5,Warning,88.26,Warning,0.107,Grade A,Pass,HSLA-340,182.5,Pass,0,Pass,544.9,No,Pass,Warning
CHS-00001,14,2025-01-01 02:10:00,89.3,Pass,86.61,Pass,0.332,Grade B,Pass,E350,171.9,Pass,5,Pass,543.9,No,Pass,Pass
CHS-00001,15,2025-01-01 02:20:00,95.7,Pass,83.25,Pass,0.585,Reject,Fail,HSLA-340,172.5,Pass,2,Pass,543.3,No,Pass,Warning
CHS-00001,16,2025-01-01 02:30:00,99.9,Pass,84.96,Pass,0.22,Grade B,Pass,E350,155.4,Pass,6,Warning,475.7,No,Pass,Pass
CHS-00001,17,2025-01-01 02:40:00,92.6,Pass,85.36,Pass,0.318,Grade B,Pass,IS2062-E250,157.4,Pass,3,Pass,455.0,No,Pass,Pass
CHS-00001,18,2025-01-01 02:50:00,98.8,Pass,86.27,Pass,0.208,Grade B,Pass,IS2062-E250,152.6,Pass,11,Fail,539.0,No,Pass,Warning
CHS-00001,19,2025-01-01 03:00:00,86.1,Pass,84.15,Pass,0.345,Grade B,Pass,HSLA-420,215.7,Pass,5,Pass,530.8,No,Pass,Pass
CHS-00001,20,2025-01-01 03:10:00,99.0,Pass,86.94,Pass,0.31,Grade B,Pass,HSLA-340,189.8,Pass,7,Warning,525.5,No,Pass,Pass
CHS-00001,21,2025-01-01 03:20:00,78.6,Fail,84.79,Pass,0.258,Grade B,Pass,E350,184.5,Pass,1,Pass,529.9,No,Pass,Warning
CHS-00001,23,2025-01-01 03:40:00,85.5,Pass,83.58,Pass,0.34,Grade B,Pass,HSLA-340,176.0,Pass,8,Warning,473.0,No,Pass,Pass
CHS-00001,24,2025-01-01 03:50:00,88.4,Pass,86.26,Pass,0.087,Grade A,Pass,E350,161.9,Pass,0,Pass,467.3,No,Pass,Pass
CHS-00001,25,2025-01-01 04:00:00,80.5,Warning,84.34,Pass,0.172,Grade A,Pass,E350,184.0,Pass,5,Pass,546.1,No,Pass,Pass
CHS-00001,26,2025-01-01 04:10:00,95.9,Pass,89.35,Fail,0.245,Grade B,Pass,IS2062-E250,147.7,Pass,2,Pass,513.6,No,Pass,Warning
CHS-00001,27,2025-01-01 04:20:00,92.1,Pass,82.75,Warning,0.097,Grade A,Pass,HSLA-420,197.5,Pass,1,Pass,547.7,No,Pass,Pass
CHS-00001,28,2025-01-01 04:30:00,80.7,Warning,84.29,Pass,0.142,Grade A,Pass,HSLA-340,187.4,Pass,3,Pass,499.2,No,Pass,Pass
CHS-00001,29,2025-01-01 04:40:00,98.2,Pass,85.04,Pass,0.397,Grade B,Pass,IS2062-E250,152.3,Pass,5,Pass,514.3,No,Pass,Pass
CHS-00001,30,2025-01-01 04:50:00,95.8,Pass,87.43,Pass,0.151,Grade A,Pass,IS2062-E250,128.6,Pass,5,Pass,534.8,No,Pass,Pass
CHS-00001,31,2025-01-01 05:00:00,87.0,Pass,87.14,Pass,0.385,Grade B,Pass,IS2062-E250,132.5,Pass,11,Fail,480.3,No,Pass,Warning
CHS-00001,34,2025-01-01 05:30:00,99.6,Pass,83.36,Pass,0.142,Grade A,Pass,HSLA-420,208.9,Pass,5,Pass,546.1,No,Pass,Pass
CHS-00001,38,2025-01-01 06:10:00,96.8,Pass,84.15,Pass,0.374,Grade B,Pass,E350,164.9,Pass,2,Pass,443.3,No,Fail,Warning
CHS-00001,39,2025-01-01 06:20:00,90.9,Pass,87.1,Pass,0.089,Grade A,Pass,E350,152.1,Pass,8,Warning,489.7,No,Pass,Pass
CHS-00001,40,2025-01-01 06:30:00,90.1,Pass,83.8,Pass,0.062,Grade A,Pass,HSLA-340,196.0,Pass,4,Pass,473.9,No,Pass,Pass
CHS-00001,41,2025-01-01 06:40:00,86.7,Pass,85.87,Pass,0.392,Grade B,Pass,HSLA-420,196.2,Pass,7,Warning,478.1,No,Pass,Pass
CHS-00001,42,2025-01-01 06:50:00,90.1,Pass,86.17,Pass,0.075,Grade A,Pass,IS2062-E250,118.6,Pass,5,Pass,467.4,No,Pass,Pass
CHS-00001,44,2025-01-01 07:10:00,80.6,Warning,85.65,Pass,0.375,Grade B,Pass,HSLA-420,209.8,Pass,5,Pass,433.2,No,Fail,Warning
CHS-00001,45,2025-01-01 07:20:00,83.7,Warning,85.74,Pass,0.132,Grade A,Pass,HSLA-340,202.0,Pass,2,Pass,537.8,No,Pass,Pass
CHS-00001,46,2025-01-01 07:30:00,88.0,Pass,83.7,Pass,0.286,Grade B,Pass,IS2062-E250,147.9,Pass,3,Pass,411.7,Yes,Fail,Warning
CHS-00001,48,2025-01-01 07:50:00,95.0,Pass,85.34,Pass,0.179,Grade A,Pass,IS2062-E250,150.6,Pass,6,Warning,470.9,No,Pass,Pass
CHS-00001,49,2025-01-01 08:00:00,85.7,Pass,84.15,Pass,0.237,Grade B,Pass,HSLA-340,202.4,Pass,6,Warning,437.1,Yes,Fail,Warning
CHS-00001,50,2025-01-01 08:10:00,82.5,Warning,86.57,Pass,0.098,Grade A,Pass,HSLA-340,197.8,Pass,2,Pass,502.0,No,Pass,Pass
CHS-00002,1,2025-01-01 08:20:00,76.7,Fail,84.99,Pass,0.277,Grade B,Pass,HSLA-340,197.9,Pass,4,Pass,418.3,Yes,Fail,Fail
CHS-00002,2,2025-01-01 08:30:00,85.2,Pass,82.43,Warning,0.541,Grade C,Warning,IS2062-E250,138.5,Pass,5,Pass,535.3,No,Pass,Warning
CHS-00002,3,2025-01-01 08:40:00,87.4,Pass,83.87,Pass,0.259,Grade B,Pass,HSLA-420,198.2,Pass,3,Pass,442.1,Yes,Fail,Warning
CHS-00002,4,2025-01-01 08:50:00,82.6,Warning,84.14,Pass,0.464,Grade C,Warning,IS2062-E250,138.2,Pass,5,Pass,472.7,No,Pass,Warning
CHS-00002,5,2025-01-01 09:00:00,85.0,Pass,85.35,Pass,0.13,Grade A,Pass,E350,180.5,Pass,0,Pass,444.6,Yes,Fail,Warning
CHS-00002,6,2025-01-01 09:10:00,95.9,Pass,88.07,Warning,0.128,Grade A,Pass,IS2062-E250,129.7,Pass,4,Pass,537.9,No,Pass,Pass
CHS-00002,7,2025-01-01 09:20:00,95.4,Pass,87.01,Pass,0.074,Grade A,Pass,HSLA-420,213.1,Pass,1,Pass,434.4,Yes,Fail,Warning
CHS-00002,8,2025-01-01 09:30:00,80.2,Warning,82.65,Warning,0.25,Grade B,Pass,HSLA-420,223.1,Pass,1,Pass,450.3,No,Pass,Warning
CHS-00002,9,2025-01-01 09:40:00,81.8,Warning,84.12,Pass,0.382,Grade B,Pass,IS2062-E250,156.3,Pass,5,Pass,506.5,No,Pass,Pass
CHS-00002,10,2025-01-01 09:50:00,98.4,Pass,84.15,Pass,0.348,Grade B,Pass,HSLA-420,212.9,Pass,4,Pass,418.6,No,Fail,Warning
CHS-00002,11,2025-01-01 10:00:00,91.6,Pass,84.17,Pass,0.318,Grade B,Pass,HSLA-420,188.9,Pass,3,Pass,452.7,No,Pass,Pass
CHS-00002,12,2025-01-01 10:10:00,97.6,Pass,85.35,Pass,0.424,Grade C,Warning,E350,172.2,Pass,5,Pass,503.3,No,Pass,Pass
CHS-00002,13,2025-01-01 10:20:00,80.7,Warning,87.33,Pass,0.192,Grade A,Pass,HSLA-340,185.4,Pass,4,Pass,483.6,No,Pass,Pass
CHS-00002,16,2025-01-01 10:50:00,90.9,Pass,86.11,Pass,0.572,Reject,Fail,E350,164.3,Pass,4,Pass,508.7,No,Pass,Warning
CHS-00002,17,2025-01-01 11:00:00,86.7,Pass,86.95,Pass,0.164,Grade A,Pass,IS2062-E250,117.6,Pass,8,Warning,512.2,No,Pass,Pass
CHS-00002,18,2025-01-01 11:10:00,98.9,Pass,84.68,Pass,0.242,Grade B,Pass,IS2062-E250,120.8,Pass,1,Pass,418.5,No,Fail,Warning
CHS-00002,19,2025-01-01 11:20:00,90.9,Pass,84.86,Pass,0.13,Grade A,Pass,HSLA-420,222.0,Pass,3,Pass,533.4,No,Pass,Pass
CHS-00002,20,2025-01-01 11:30:00,92.6,Pass,84.13,Pass,0.382,Grade B,Pass,HSLA-420,199.6,Pass,6,Warning,533.7,No,Pass,Pass
CHS-00002,21,2025-01-01 11:40:00,83.3,Warning,84.15,Pass,0.304,Grade B,Pass,IS2062-E250,135.7,Pass,1,Pass,472.9,No,Pass,Pass
CHS-00002,22,2025-01-01 11:50:00,99.1,Pass,84.6,Pass,0.17,Grade A,Pass,HSLA-420,200.3,Pass,2,Pass,456.6,No,Pass,Pass
CHS-00002,23,2025-01-01 12:00:00,95.5,Pass,87.17,Pass,0.218,Grade B,Pass,HSLA-420,219.5,Pass,1,Pass,455.3,No,Pass,Pass
CHS-00002,24,2025-01-01 12:10:00,84.3,Warning,87.88,Warning,0.059,Grade A,Pass,HSLA-420,203.4,Pass,2,Pass,530.3,No,Pass,Warning
CHS-00002,25,2025-01-01 12:20:00,91.0,Pass,83.29,Pass,0.172,Grade A,Pass,HSLA-340,203.4,Pass,7,Warning,457.3,No,Pass,Pass
CHS-00002,26,2025-01-01 12:30:00,78.3,Fail,84.17,Pass,0.053,Grade A,Pass,HSLA-340,189.6,Pass,0,Pass,420.6,Yes,Fail,Fail
CHS-00002,27,2025-01-01 12:40:00,85.8,Pass,83.76,Pass,0.142,Grade A,Pass,IS2062-E250,151.1,Pass,4,Pass,518.8,No,Pass,Pass
CHS-00002,28,2025-01-01 12:50:00,85.4,Pass,89.73,Fail,0.335,Grade B,Pass,IS2062-E250,128.3,Pass,12,Fail,535.5,No,Pass,Fail
CHS-00002,29,2025-01-01 13:00:00,84.0,Warning,85.51,Pass,0.116,Grade A,Pass,E350,179.2,Pass,2,Pass,421.0,Yes,Fail,Warning
CHS-00002,31,2025-01-01 13:20:00,97.0,Pass,86.8,Pass,0.22,Grade B,Pass,HSLA-420,223.2,Pass,11,Fail,469.4,No,Pass,Warning
CHS-00002,32,2025-01-01 13:30:00,99.2,Pass,86.11,Pass,0.071,Grade A,Pass,HSLA-420,206.0,Pass,9,Fail,467.5,No,Pass,Warning
CHS-00002,33,2025-01-01 13:40:00,87.2,Pass,88.25,Warning,0.378,Grade B,Pass,E350,174.5,Pass,0,Pass,463.3,No,Pass,Pass
CHS-00002,34,2025-01-01 13:50:00,89.1,Pass,85.67,Pass,0.191,Grade A,Pass,IS2062-E250,121.7,Pass,4,Pass,501.8,No,Pass,Pass
CHS-00002,35,2025-01-01 14:00:00,91.3,Pass,85.08,Pass,0.35,Grade B,Pass,HSLA-340,179.3,Pass,7,Warning,453.5,No,Pass,Pass
CHS-00002,36,2025-01-01 14:10:00,96.3,Pass,80.77,Fail,0.14,Grade A,Pass,E350,156.3,Pass,4,Pass,544.6,No,Pass,Warning
CHS-00002,38,2025-01-01 14:30:00,85.7,Pass,84.12,Pass,0.354,Grade B,Pass,IS2062-E250,117.9,Pass,4,Pass,401.1,No,Fail,Warning
CHS-00002,39,2025-01-01 14:40:00,93.2,Pass,81.3,Fail,0.297,Grade B,Pass,E350,178.5,Pass,9,Fail,472.3,No,Pass,Fail
CHS-00002,40,2025-01-01 14:50:00,93.6,Pass,82.68,Warning,0.254,Grade B,Pass,HSLA-340,184.3,Pass,4,Pass,528.0,No,Pass,Pass
CHS-00002,41,2025-01-01 15:00:00,99.8,Pass,86.87,Pass,0.503,Grade C,Warning,IS2062-E250,146.4,Pass,5,Pass,545.3,No,Pass,Pass
CHS-00002,42,2025-01-01 15:10:00,84.7,Warning,86.69,Pass,0.315,Grade B,Pass,IS2062-E250,147.7,Pass,8,Warning,530.4,No,Pass,Warning
CHS-00002,43,2025-01-01 15:20:00,88.4,Pass,85.07,Pass,0.246,Grade B,Pass,HSLA-340,201.9,Pass,4,Pass,511.2,No,Pass,Pass
CHS-00002,44,2025-01-01 15:30:00,85.3,Pass,85.75,Pass,0.334,Grade B,Pass,HSLA-420,192.1,Pass,3,Pass,525.7,No,Pass,Pass
CHS-00002,45,2025-01-01 15:40:00,90.2,Pass,85.75,Pass,0.475,Grade C,Warning,IS2062-E250,155.0,Pass,0,Pass,432.8,Yes,Fail,Warning
CHS-00002,46,2025-01-01 15:50:00,89.3,Pass,85.35,Pass,0.156,Grade A,Pass,IS2062-E250,153.8,Pass,2,Pass,482.5,No,Pass,Pass
CHS-00002,47,2025-01-01 16:00:00,86.0,Pass,82.73,Warning,0.129,Grade A,Pass,E350,167.5,Pass,9,Fail,511.4,No,Pass,Warning
CHS-00002,49,2025-01-01 16:20:00,97.7,Pass,88.22,Warning,0.331,Grade B,Pass,IS2062-E250,153.7,Pass,7,Warning,456.2,No,Pass,Warning
CHS-00003,1,2025-01-01 16:40:00,92.2,Pass,82.55,Warning,0.357,Grade B,Pass,HSLA-420,189.5,Pass,5,Pass,499.5,No,Pass,Pass
CHS-00003,2,2025-01-01 16:50:00,91.0,Pass,88.37,Warning,0.185,Grade A,Pass,E350,169.2,Pass,4,Pass,547.3,No,Pass,Pass
CHS-00003,3,2025-01-01 17:00:00,95.4,Pass,86.31,Pass,0.201,Grade B,Pass,E350,176.4,Pass,6,Warning,472.2,No,Pass,Pass
CHS-00003,4,2025-01-01 17:10:00,98.6,Pass,89.96,Fail,0.519,Grade C,Warning,E350,157.1,Pass,4,Pass,503.8,No,Pass,Warning
CHS-00003,5,2025-01-01 17:20:00,89.6,Pass,83.03,Pass,0.355,Grade B,Pass,HSLA-340,173.7,Pass,4,Pass,447.4,No,Fail,Warning
CHS-00003,6,2025-01-01 17:30:00,84.7,Warning,83.49,Pass,0.107,Grade A,Pass,HSLA-420,207.6,Pass,4,Pass,544.8,No,Pass,Pass
CHS-00003,7,2025-01-01 17:40:00,88.6,Pass,85.11,Pass,0.111,Grade A,Pass,HSLA-420,212.7,Pass,4,Pass,461.9,No,Pass,Pass
CHS-00003,8,2025-01-01 17:50:00,85.0,Pass,86.3,Pass,0.101,Grade A,Pass,HSLA-420,188.8,Pass,9,Fail,517.2,No,Pass,Warning
CHS-00003,9,2025-01-01 18:00:00,99.4,Pass,87.16,Pass,0.237,Grade B,Pass,IS2062-E250,158.4,Pass,5,Pass,480.6,No,Pass,Pass
CHS-00003,11,2025-01-01 18:20:00,96.7,Pass,85.65,Pass,0.414,Grade C,Warning,HSLA-420,185.4,Pass,7,Warning,543.8,No,Pass,Warning
CHS-00003,12,2025-01-01 18:30:00,99.7,Pass,82.58,Warning,0.204,Grade B,Pass,IS2062-E250,118.2,Pass,5,Pass,435.1,No,Fail,Warning
CHS-00003,13,2025-01-01 18:40:00,82.2,Warning,88.91,Fail,0.191,Grade A,Pass,HSLA-420,202.3,Pass,6,Warning,528.6,No,Pass,Warning
CHS-00003,14,2025-01-01 18:50:00,97.7,Pass,83.16,Pass,0.209,Grade B,Pass,HSLA-340,189.5,Pass,3,Pass,536.4,No,Pass,Pass
CHS-00003,15,2025-01-01 19:00:00,99.7,Pass,87.01,Pass,0.345,Grade B,Pass,IS2062-E250,120.2,Pass,3,Pass,462.2,No,Pass,Pass
CHS-00003,16,2025-01-01 19:10:00,99.4,Pass,84.11,Pass,0.217,Grade B,Pass,IS2062-E250,127.4,Pass,1,Pass,502.8,No,Pass,Pass
CHS-00003,17,2025-01-01 19:20:00,97.4,Pass,82.43,Warning,0.089,Grade A,Pass,HSLA-340,184.0,Pass,6,Warning,548.3,No,Pass,Warning
CHS-00003,18,2025-01-01 19:30:00,83.7,Warning,83.56,Pass,0.314,Grade B,Pass,HSLA-420,213.8,Pass,5,Pass,541.1,No,Pass,Pass
CHS-00003,19,2025-01-01 19:40:00,92.4,Pass,84.21,Pass,0.292,Grade B,Pass,E350,163.8,Pass,1,Pass,455.6,No,Pass,Pass
CHS-00003,20,2025-01-01 19:50:00,96.0,Pass,87.49,Pass,0.4,Grade B,Pass,HSLA-420,187.1,Pass,7,Warning,475.3,No,Pass,Pass
CHS-00003,21,2025-01-01 20:00:00,88.2,Pass,87.81,Warning,0.366,Grade B,Pass,E350,175.0,Pass,4,Pass,479.1,No,Pass,Pass
CHS-00003,22,2025-01-01 20:10:00,91.4,Pass,84.91,Pass,0.341,Grade B,Pass,HSLA-420,222.8,Pass,9,Fail,540.4,No,Pass,Warning
CHS-00003,25,2025-01-01 20:40:00,98.0,Pass,89.32,Fail,0.508,Grade C,Warning,IS2062-E250,138.4,Pass,0,Pass,503.0,No,Pass,Warning
CHS-00003,26,2025-01-01 20:50:00,83.8,Warning,85.73,Pass,0.146,Grade A,Pass,HSLA-340,176.8,Pass,8,Warning,482.0,No,Pass,Warning
CHS-00003,27,2025-01-01 21:00:00,85.9,Pass,87.32,Pass,0.177,Grade A,Pass,IS2062-E250,155.2,Pass,5,Pass,549.0,No,Pass,Pass
CHS-00003,28,2025-01-01 21:10:00,80.7,Warning,87.35,Pass,0.127,Grade A,Pass,IS2062-E250,135.9,Pass,3,Pass,521.9,No,Pass,Pass
CHS-00003,29,2025-01-01 21:20:00,93.0,Pass,87.9,Warning,0.264,Grade B,Pass,HSLA-340,202.2,Pass,8,Warning,540.3,No,Pass,Warning
CHS-00003,30,2025-01-01 21:30:00,80.5,Warning,84.45,Pass,0.275,Grade B,Pass,IS2062-E250,127.9,Pass,2,Pass,458.2,No,Pass,Pass
CHS-00003,31,2025-01-01 21:40:00,77.9,Fail,82.22,Warning,0.077,Grade A,Pass,HSLA-340,206.9,Pass,5,Pass,479.5,No,Pass,Warning
CHS-00003,32,2025-01-01 21:50:00,90.1,Pass,86.97,Pass,0.24,Grade B,Pass,E350,168.8,Pass,0,Pass,454.0,No,Pass,Pass
CHS-00003,33,2025-01-01 22:00:00,94.7,Pass,88.11,Warning,0.399,Grade B,Pass,IS2062-E250,141.6,Pass,3,Pass,536.8,No,Pass,Pass
CHS-00003,34,2025-01-01 22:10:00,96.8,Pass,80.11,Fail,0.098,Grade A,Pass,HSLA-420,215.6,Pass,1,Pass,514.9,No,Pass,Warning
CHS-00003,35,2025-01-01 22:20:00,77.2,Fail,84.52,Pass,0.112,Grade A,Pass,HSLA-420,207.1,Pass,2,Pass,493.8,No,Pass,Warning
CHS-00003,36,2025-01-01 22:30:00,84.6,Warning,83.38,Pass,0.122,Grade A,Pass,E350,184.4,Pass,3,Pass,404.9,Yes,Fail,Warning
CHS-00003,38,2025-01-01 22:50:00,76.4,Fail,84.25,Pass,0.217,Grade B,Pass,E350,161.8,Pass,4,Pass,430.8,No,Fail,Fail
CHS-00003,39,2025-01-01 23:00:00,94.4,Pass,87.97,Warning,0.38,Grade B,Pass,IS2062-E250,133.5,Pass,0,Pass,447.2,No,Fail,Warning
CHS-00003,42,2025-01-01 23:30:00,99.1,Pass,83.03,Pass,0.208,Grade B,Pass,IS2062-E250,157.9,Pass,1,Pass,546.1,No,Pass,Pass
CHS-00003,43,2025-01-01 23:40:00,92.3,Pass,83.89,Pass,0.22,Grade B,Pass,E350,169.8,Pass,12,Fail,533.8,No,Pass,Warning
CHS-00003,44,2025-01-01 23:50:00,94.0,Pass,86.65,Pass,0.399,Grade B,Pass,E350,158.1,Pass,1,Pass,485.3,No,Pass,Pass
CHS-00003,46,2025-01-02 00:10:00,99.3,Pass,85.9,Pass,0.081,Grade A,Pass,E350,164.8,Pass,10,Fail,494.3,No,Pass,Warning
CHS-00003,47,2025-01-02 00:20:00,94.0,Pass,82.84,Warning,0.075,Grade A,Pass,HSLA-420,224.0,Pass,3,Pass,429.7,Yes,Fail,Warning
CHS-00003,49,2025-01-02 00:40:00,87.7,Pass,83.9,Pass,0.116,Grade A,Pass,IS2062-E250,124.5,Pass,1,Pass,414.9,No,Fail,Warning
CHS-00003,50,2025-01-02 00:50:00,97.5,Pass,87.44,Pass,0.252,Grade B,Pass,HSLA-340,186.1,Pass,0,Pass,436.5,Yes,Fail,Warning
CHS-00004,1,2025-01-02 01:00:00,95.4,Pass,87.9,Warning,0.129,Grade A,Pass,IS2062-E250,127.6,Pass,4,Pass,467.9,No,Pass,Pass
CHS-00004,2,2025-01-02 01:10:00,94.9,Pass,85.66,Pass,0.338,Grade B,Pass,HSLA-340,201.1,Pass,5,Pass,543.9,No,Pass,Pass
CHS-00004,4,2025-01-02 01:30:00,95.6,Pass,82.84,Warning,0.11,Grade A,Pass,E350,189.6,Pass,4,Pass,489.2,No,Pass,Pass
